FARMA SALUD                   ;;;;Informe Emitido por:;;;;;;;
SOC.FARMA CRUCES SALDAÑO                ;;;;  6 NICOLAS              Supervisor;;;;;;;
FARMACIA Rut:76.383.674-6;;;;Fecha 06-09-2026 Hrs. 15:41:40;;;;;;;
COLON 222                          ;;;;;;;;;;;
442888351;;;;;;;;;;;
Maestro de productos ;;;;;;;;;;;
LAB;GRUPO;CODIGO;CODBARRA;DETALLE;COSTO;MARGEN;PRECIO;PCADENA;POFERTA;STOCK;DESCUENTO
ACCESORIOS (TRIM Y GALA);;177433;71603056053;TRIM ENCRES.PEST.EYELASH  CULER;2390;26.23;3590;7590;0;0;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177434;71603002265;TRIM ENCRESP.PESTANA ANTIDESLIZANTE;3360;24.8;4990;0;0;2;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177435;71603041257;TRIM ESCRESPADOR+PINZAS C;3170;38.18;4800;0;0;0;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177436;71603042964;TRIM ESPEJO REDONDO C/AUM;2409;39.18;3990;0;0;1;Si
ACCESORIOS (TRIM Y GALA);;177437;71603097704;TRIM LIMA FLOREADA X2;1541;28.15;2350;4790;0;0;Si
ACCESORIOS (TRIM Y GALA);;177438;71603001220;TRIM LIMA PROF RODASA +  LIMA MET;1570;27.92;2390;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177439;71603001237;TRIM LIMA PTOFECIONAL X 2;1550;29.57;2390;4690;0;0;Si
ACCESORIOS (TRIM Y GALA);;177440;71603979000;TRIM LIMA ZAFIRO REMOVEDOR DE CUTICULA;930;43.67;1590;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177458;71603002234;TRIM LIMAS 10 UN;981;70.47;1990;3190;0;2;Si
ACCESORIOS (TRIM Y GALA);;177456;71603209275;TRIM NAVAJAS CEJAS ROSTRO X 2 UNID;2090;26.65;3150;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177384;71603004535;TRIM PIEDRA  POMEZ X 1;1060;26.84;1600;0;0;0;Si
ACCESORIOS (TRIM Y GALA);ACCESORIOS COSMETICOS;177442;503001;TRIM PINZA CEJA OBLI.LUJO;1270;38.95;2100;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177443;71603004917;TRIM PINZA OBLICUA PROFESIONAL X 1;1390;38.44;2290;0;0;0;Si
ACCESORIOS (TRIM Y GALA);;177405;71603529007;TRIM PINZA OBLICUA X 1;1001;41.87;1690;2790;0;7;Si
ACCESORIOS (TRIM Y GALA);;177409;71603002142;TRIM PINZA RECTA X 1;948;32.08;1490;2790;0;2;Si
ACCESORIOS (TRIM Y GALA);;177444;71603005440;TRIM PINZAS 2 X 1;1146;62.26;2290;0;0;1;Si
ACCESORIOS (TRIM Y GALA);;177406;71603011632;TRIM REMOVEDOR DE CUTICULA;960;30.43;1490;1390;0;0;Si
ACCESORIOS (TRIM Y GALA);;177446;71603002241;TRIM SET MANICURE FAMILIAR 5 PIEZAS;1999;34.1;3190;5190;0;0;Si
ACCESORIOS (TRIM Y GALA);;177447;71603032828;TRIM SET MINI PEDICURE 5 PIEZAS;2097;27.83;3190;3890;0;0;Si
ACCESORIOS (TRIM Y GALA);;177407;71603002180;TRIM TIJERA UÑAS;2790;26.2;4190;5990;0;0;Si
ACCESORIOS (TRIM Y GALA);;177459;71603032811;TRIM TOTALLY TOGETHER MINI MANICURA;2265;29.48;3490;6290;0;0;Si
ACCESORIOS MEDICOS;;136297;7804666065273;AEROCAMARA BIOMEDIKA PED;2265;48.03;3990;0;0;0;Si
ACCESORIOS MEDICOS;;136386;7806130016934;AEROCAMARA CRANBERRY ADULTO 180ML X;2730;53.6;4990;0;0;0;Si
ACCESORIOS MEDICOS;AEROCAMARAS;136304;7800063000312;AEROCAMARA UNIVER.PED/AD;1796;92.59;3990;0;0;2;Si
ACCESORIOS MEDICOS;;136123;136123;AEROPRO (AEROCAMARA +MASCARILLA);9782;37.36;15990;0;0;0;Si
ACCESORIOS MEDICOS;;136246;136246;AEROPRO AEROCAMARA PERRO  TALLA L;6800;48.17;11990;0;0;0;Si
ACCESORIOS MEDICOS;;136245;136245;AEROPRO AEROCAMARA PERRO TALLA M;6800;48.17;11990;0;0;0;Si
ACCESORIOS MEDICOS;ACCESORIOS MEDICOS;136070;78909809;AGUJA  23G;40;119.41;100;0;0;12;Si
ACCESORIOS MEDICOS;;136213;136213;AGUJA 20G;25.6;227.23;100;0;0;0;Si
ACCESORIOS MEDICOS;JERINGA / AGUJA;136006;78909878;AGUJA 21G;40;115.47;100;0;0;35;Si
ACCESORIOS MEDICOS;;136374;321;AGUJA 26 G 1/2;27;211.24;100;0;0;0;Si
ACCESORIOS MEDICOS;;136003;465800030006;AGUJAS 18G;31;286.07;150;0;0;31;Si
ACCESORIOS MEDICOS;;136150;78909717;AGUJAS 30G;50;68.07;100;0;0;5;Si
ACCESORIOS MEDICOS;;136139;10030189;ALCOHOL 70º 500 ML;1300;69.23;2590;0;0;8;Si
ACCESORIOS MEDICOS;;136100;614143647697;ALCOHOL 70º SP.140 ML MICROFILTRADO;1000;33.61;1590;0;0;5;Si
ACCESORIOS MEDICOS;;136105;7804614181864;ALCOHOL 70º X 1000 ML;2323;66.04;4590;0;0;3;Si
ACCESORIOS MEDICOS;DESINFECTANTE TOPICO;136305;7801000206866;ALCOHOL DESN.1 LITRO;2148;76.43;4590;0;0;4;Si
